#N:	        		Tempo:
32			        3.587e-05
64			        3.634e-05
128			        3.532e-05
256			        3.474e-05
512			        3.593e-05
1024		    		3.687e-05 
2048		    		3.51e-05 
4096		    		3.506e-05
8192		    		3.669e-05
16384		    		3.594e-05
32768		    		3.537e-05
65536		    		3.562e-05
131072		    		3.571e-05
262144	        		3.624e-05
524288		    		3.493e-05
1048576		    		3.545e-05
2097152		    		3.536e-05
4194304		    		3.579e-05
8388608		    		3.647e-05
16777216			4.118e-05
33554432			4.485e-05
67108864			3.808e-05
134217728			3.499e-05
268435456			3.664e-05
536870912			3.553e-05

