#N:			Tempo:
32			4.229e-05
64			3.417e-05
128			3.477e-05
256			3.473e-05 
512			3.451e-05
1024			3.545e-05
2048			3.987e-05
4096			3.555e-05
8192			3.725e-05
16384			3.508e-05
32768			3.56e-05 
65536			3.464e-05
131072			3.626e-05
262144			3.493e-05
524288			3.507e-05
1048576			3.56e-05 
2097152			3.461e-05
4194304			3.482e-05
8388608			3.395e-05
16777216		3.482e-05
33554432		3.496e-05
67108864		3.548e-05
134217728		3.509e-05
268435456		3.74e-05 
536870912		3.497e-05
