#N:                      Tempo:
32		        4.613e-05 
64	        	3.453e-05 
128		        3.85e-05 
256		        3.745e-05 
512			3.794e-05 
1024		    	3.726e-05 
2048		    	3.526e-05 
4096		    	3.739e-05 
8192		    	3.643e-05 
16384		    	3.572e-05 
32768		    	3.439e-05 
65536		    	3.604e-05 
131072		    	3.546e-05
262144		    	3.55e-05 
524288		    	3.449e-05 
1048576		    	3.609e-05 
2097152		    	3.639e-05 
4194304		    	3.532e-05 
8388608		    	3.476e-05 
16777216		3.764e-05 
33554432		3.747e-05 
67108864		3.764e-05 
134217728		3.621e-05 
268435456		3.576e-05 
536870912		3.544e-05 

