#N:      			Tempo:
32      			3.878e-05
64      			3.472e-05
128	        		3.643e-05
256			        3.585e-05
512			        3.599e-05
1024		    		3.607e-05
2048		    		3.683e-05
4096		    		3.597e-05
8192		    		3.551e-05
16384		    		3.664e-05
32768		    		3.593e-05
65536		    		3.675e-05
131072		    		3.629e-05
262144		    		3.701e-05
524288		    		3.631e-05
1048576		    		3.61e-05 
2097152		    		3.586e-05
4194304		    		4.058e-05
8388608		    		5.098e-05
16777216			4.254e-05
33554432			3.698e-05
67108864			3.708e-05
134217728			3.695e-05
268435456			3.705e-05
536870912			3.678e-05


