#N:      			Tempo:
32		        	3.974e-05 
64		        	3.669e-05 
128		        	3.71e-05 
256		        	3.625e-05 
512		        	3.674e-05 
1024	    			3.661e-05 
2048	    			3.766e-05 
4096	    			3.725e-05 
8192	    			3.672e-05 
16384	    			3.691e-05 
32768	    			3.702e-05 
65536	    			3.685e-05 
131072	    			3.725e-05 
262144	    			3.584e-05 
524288	    			3.618e-05 
1048576	    			3.629e-05 
2097152	    			3.646e-05 
4194304	    			3.663e-05 
8388608	    			3.831e-05 
16777216			5.274e-05 
33554432			3.744e-05 
67108864			3.762e-05 
134217728			3.703e-05 
268435456			3.734e-05 
536870912			3.69e-05 

