#N:	        		Tempo:
32	        		0.000905 
64	        		0.000241 
128	        		0.000236
256	        		0.000305
512	        		0.000281
1024       			0.00037 
2048    			0.000298
4096    			0.0004 
8192    			0.00044 
16384   			0.000356
32768   			0.000403
65536   			0.000472
131072		    		0.000468
262144		    		0.000466
524288		    		0.000517
1048576		    		0.00048 
2097152		    		0.000411 
4194304		    		0.000578 
8388608		    		0.000607 
16777216			0.000535 
33554432			0.000562 
67108864			0.000583 
134217728			0.000598 
268435456			0.000609 
536870912			0.000609 

