#N:		        	Tempo:
32      			0.00010521 
64		        	4.76e-05 
128		        	5.113e-05 
256		        	5.146e-05 
512		        	5.162e-05 
1024	    			4.655e-05 
2048	    			5.039e-05 
4096	    			5.175e-05 
8192	    			5.091e-05 
16384	    			5.051e-05 
32768	    			5.123e-05 
65536	    			4.758e-05 
131072	    			5.109e-05 
262144	    			5.353e-05 
524288	    			5.552e-05 
1048576	    			4.777e-05 
2097152	    			5.122e-05 
4194304	    			4.823e-05 
8388608	    			5.182e-05 
16777216			4.814e-05 
33554432			5.135e-05 
67108864			4.868e-05 
134217728			5.259e-05 
268435456			4.792e-05 
536870912			5.213e-05 

