#N:		        	Tempo:
32      			9.925e-05 
64		        	0.00011145 
128		        	0.00011154 
256		        	0.00024354 
512		        	0.00012884 
1024	    			0.00014141 
2048	    			0.00015032 
4096	    			0.00028311 
8192	    			0.00030238 
16384	    			0.00019238 
32768	    			0.00020336 
65536	    			0.00033513 
131072	    			0.00022848 
262144	    			0.00024306 
524288	    			0.00025536 
1048576	    			0.00026792 
2097152	    			0.00027937 
4194304	    			0.00029081 
8388608	    			0.0003016 
16777216			0.00031325 
33554432			0.00033233 
67108864			0.00034287 
134217728			0.00036294 
268435456			0.00038025 
536870912			0.00039414 

