#N:	        		Tempo:
32			        0.00017896 
64			        0.00010033 
128			        0.00011484
256			        0.0001273 
512			        0.00014382
1024		    		0.0001599 
2048		    		0.00017407
4096		    		0.00019821
8192		    		0.00021259
16384		    		0.00022766
32768		    		0.00024053
65536		    		0.00025822
131072		    		0.00028757
262144		    		0.00030554
524288		    		0.00031768
1048576		    		0.00033333
2097152		    		0.00034761
4194304		    		0.00036484
8388608		    		0.00037999
16777216			0.00047671
33554432			0.00040822
67108864			0.00042999
134217728			0.00046209
268435456			0.00048811
536870912			0.00050726

