#N:			        Tempo:
32	        		7.465e-05 
64			        6.494e-05 
128			        8.563e-05 
256			        9.148e-05 
512			        9.158e-05 
1024		    		0.00010628 
2048		    		0.00011779 
4096		    		0.00011699 
8192		 		0.0001317 
16384		    		0.00013124 
32768		    		0.00015356 
65536		    		0.00015691 
131072		    		0.00015732 
262144		    		0.00018295 
524288		    		0.00019242 
1048576		    		0.0001955 
2097152		    		0.00020569 
4194304		    		0.00022071 
8388608		    		0.00021895 
16777216			0.00023256 
33554432			0.00023187 
67108864			0.00024776 
134217728			0.00026172 
268435456			0.00026027 
536870912			0.00027555 


