#N:		        	Tempo:
32		        	0.00016789 
64      			7.507e-05 
128		        	9.12e-05 
256		        	0.00010446 
512		        	0.00010355 
1024	    			0.00012115 
2048	    			0.00013338 
4096	    			0.00013402 
8192	    			0.00014877 
16384	    			0.00014777 
32768	    			0.00016635 
65536	    			0.00018142 
131072	    			0.00018061 
262144	    			0.00021469 
524288	    			0.00022563 
1048576	    			0.00022572 
2097152	    			0.00023985 
4194304	    			0.00025737 
8388608	    			0.00025807 
16777216			0.00027367 
33554432			0.00027403 
67108864			0.00029775 
134217728			0.00031176 
268435456			0.00031233 
536870912			0.00032823 

