#N:	        		Tempo:
32			        0.00022733 
64			        0.00018319 
128			        0.00020183 
256			        0.00027057 
512			        0.0003833 
1024		    		0.00045898 
2048		    		0.00041892 
4096		    		0.00047874 
8192		    		0.00056889 
16384		    		0.00060644 
32768		    		0.00072755 
65536		    		0.00077752 
131072		    		0.00090708 
262144		    		0.00098013 
524288		    		0.00112499 
1048576		    		0.00124126 
2097152		    		0.00127713 
4194304		    		0.0014448 
8388608		    		0.00164443 
16777216			0.00183354 
33554432			0.00186535
67108864			0.0020946 
134217728			0.00225464 
268435456			0.00247845 
536870912			0.00254939 

