#N:	        		Tempo:
32			        0.00030389 
64			        0.00018073 
128			        0.00023294 
256			        0.00042406 
512			        0.0004739 
1024		    		0.00053319 
2048		    		0.00060207 
4096		    		0.00075272 
8192		    		0.00092669 
16384		    		0.00084586 
32768		    		0.00110743 
65536		    		0.00128429 
131072		    		0.00132472 
262144		    		0.00123833 
524288		    		0.00124311 
1048576		    		0.00141403 
2097152		    		0.00170915 
4194304		    		0.00176213 
8388608		    		0.00241668 
16777216			0.00228954 
33554432			0.00215419 
67108864			0.00238296 
134217728			0.00280107 
268435456			0.00246953 
536870912			0.00288129 

