#N:	        		Tempo:
32			        0.00020396 
64			        7.557e-05 
128			        8.824e-05 
256			        0.00010503 
512			        0.00012971 
1024		    		0.00017717 
2048		    		0.00023019 
4096		    		0.00030137 
8192		    		0.00040701 
16384		    		0.00055336 
32768		    		0.00076423 
65536		    		0.00105485 
131072		    		0.0014771 
262144		    		0.0020623 
524288		    		0.0028245 
1048576		    		0.00402403 
2097152		    		0.00563368 
4194304		    		0.00778864 
8388608		    		0.0109211 
16777216			0.0153282 
33554432			0.0216235 
67108864			0.0304619 
134217728			0.0436842 
268435456			0.060829 
536870912			0.0875431 

